,Unnamed: 0,Unnamed: 0_x,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment,focus_split,characterName,actor_name,appearances,character_name,position,posting,rank,species,character_name_split,Unnamed: 0_y,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index,Aggressive_Words,Count_Aggressive_Words
32,32,32,He would not have injured you!,picard,1.0,102.txt,"['he', 'would', 'injured']","['He', 'would', 'injur']","['He', 'would', 'injur']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['injured'],1
33,33,33,(indicates phaser) Do you understand this; the stun setting?,picard,1.0,102.txt,"['indicates', 'phaser', 'do', 'understand', 'stun', 'setting']","['indic', 'phaser', 'Do', 'understand', 'stun', 'set']","['indic', 'phaser', 'Do', 'understand', 'stun', 'set']",6.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['stun'],1
54,54,54,"(deep breath, feeling it) Then later, on finally reaching deep space, humans of course found enemies to fight out there too.",picard,1.0,102.txt,"['deep', 'breath', 'feeling', 'then', 'later', 'finally', 'reaching', 'deep', 'space', 'humans', 'course', 'found', 'enemies', 'fight']","['deep', 'breath', 'feel', 'Then', 'later', 'final', 'reach', 'deep', 'space', 'human', 'cours', 'found', 'enemi', 'fight']","['deep', 'breath', 'feel', 'Then', 'later', 'final', 'reach', 'deep', 'space', 'human', 'cours', 'found', 'enemi', 'fight']",14.0,-0.3612,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['fight'],1
86,86,86,"(to Tasha) Arm photon torpedoes, Weapons Station.",picard,1.0,102.txt,"['tasha', 'arm', 'photon', 'torpedoes', 'weapons', 'station']","['Tasha', 'Arm', 'photon', 'torpedo', 'Weapon', 'Station']","['Tasha', 'Arm', 'photon', 'torpedo', 'Weapon', 'Station']",6.0,-0.29600000000000004,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['photon'],1
102,102,102,"(turning to Tasha) Lieutenant, your torpedoes must detonate close enough to the hostile to blind it at the moment we separate Understood, sir.",picard,1.0,102.txt,"['turning', 'tasha', 'lieutenant', 'torpedoes', 'must', 'detonate', 'close', 'enough', 'hostile', 'blind', 'moment', 'separate', 'understood', 'sir']","['turn', 'Tasha', 'Lieuten', 'torpedo', 'must', 'deton', 'close', 'enough', 'hostil', 'blind', 'moment', 'separ', 'Understood', 'sir']","['turn', 'Tasha', 'Lieuten', 'torpedo', 'must', 'deton', 'close', 'enough', 'hostil', 'blind', 'moment', 'separ', 'Understood', 'sir']",14.0,-0.4019,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['torpedoes'],1
109,109,109,are you recommending we fight a life form that can do all those things?,picard,1.0,102.txt,"['recommending', 'fight', 'life', 'form', 'things']","['recommend', 'fight', 'life', 'form', 'thing']","['recommend', 'fight', 'life', 'form', 'thing']",5.0,-0.0258,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['fight'],1
190,190,190,The important thing is we can be dead certain...,picard,1.0,102.txt,"['the', 'important', 'thing', 'dead', 'certain']","['The', 'import', 'thing', 'dead', 'certain']","['The', 'import', 'thing', 'dead', 'certain']",5.0,-0.4939,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['dead'],1
238,238,238,"Worf apologetically puts his phaser away, lets Picard wave him aside.",picard,1.0,102.txt,"['worf', 'apologetically', 'puts', 'phaser', 'away', 'lets', 'picard', 'wave', 'aside']","['Worf', 'apologet', 'put', 'phaser', 'away', 'let', 'Picard', 'wave', 'asid']","['Worf', 'apologet', 'put', 'phaser', 'away', 'let', 'Picard', 'wave', 'asid']",9.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['phaser'],1
265,265,265,"Mister Riker, our ship's counselor, Deanna Troi He's obviously stunned to find her here, although she isn't at all surprised.",picard,1.0,102.txt,"['mister', 'riker', 'ships', 'counselor', 'deanna', 'troi', 'hes', 'obviously', 'stunned', 'find', 'although', 'isnt', 'surprised']","['Mister', 'Riker', 'ship', 'counselor', 'Deanna', 'Troi', 'He', 'obvious', 'stun', 'find', 'although', 'isnt', 'surpris']","['Mister', 'Riker', 'ship', 'counselor', 'Deanna', 'Troi', 'He', 'obvious', 'stun', 'find', 'although', 'isnt', 'surpris']",13.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['stunned'],1
336,336,336,"Raise all shields, phasers at ready.",picard,1.0,102.txt,"['raise', 'shields', 'phasers', 'ready']","['Rais', 'shield', 'phaser', 'readi']","['Rais', 'shield', 'phaser', 'readi']",4.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['phasers'],1
345,345,345,(toward Security position) Bring phasers and photon torpedoes to ready!,picard,1.0,102.txt,"['toward', 'security', 'position', 'bring', 'phasers', 'photon', 'torpedoes', 'ready']","['toward', 'Secur', 'posit', 'Bring', 'phaser', 'photon', 'torpedo', 'readi']","['toward', 'Secur', 'posit', 'Bring', 'phaser', 'photon', 'torpedo', 'readi']",8.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,"['phasers', 'photon', 'torpedoes']",3
353,353,353,Any damage there ,picard,1.0,102.txt,"['any', 'damage']","['Ani', 'damag']","['Ani', 'damag']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['damage'],1
363,363,363,"(turns to Tasha) Lock phasers on that vessel, Lieutenant In b.g., Tasha touching panel controls.",picard,1.0,102.txt,"['turns', 'tasha', 'lock', 'phasers', 'vessel', 'lieutenant', 'in', 'bg', 'tasha', 'touching', 'panel', 'controls']","['turn', 'Tasha', 'Lock', 'phaser', 'vessel', 'Lieuten', 'In', 'bg', 'Tasha', 'touch', 'panel', 'control']","['turn', 'Tasha', 'Lock', 'phaser', 'vessel', 'Lieuten', 'In', 'bg', 'Tasha', 'touch', 'panel', 'control']",12.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['phasers'],1
431,431,431,"(turns) Tasha, rig phasers to deliver an energy beam.",picard,1.0,102.txt,"['turns', 'tasha', 'rig', 'phasers', 'deliver', 'energy', 'beam']","['turn', 'Tasha', 'rig', 'phaser', 'deliv', 'energi', 'beam']","['turn', 'Tasha', 'rig', 'phaser', 'deliv', 'energi', 'beam']",7.0,-0.128,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['phasers'],1
486,486,28516,But they caution us.. (interrupting; to Data) Go to yellow alert!,data,1.0,102.txt,"['but', 'caution', 'us', 'interrupting', 'data', 'go', 'yellow', 'alert']","['But', 'caution', 'us', 'interrupt', 'Data', 'Go', 'yellow', 'alert']","['But', 'caution', 'u', 'interrupt', 'Data', 'Go', 'yellow', 'alert']",8.0,-0.0516,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['yellow'],1
597,597,41037,"Picard grabs up Conn's phaser from the deck (reversing it, wisely), stands and puts it under ""Q's"" nose.",troi,1.0,102.txt,"['picard', 'grabs', 'conns', 'phaser', 'deck', 'reversing', 'wisely', 'stands', 'puts', 'qs', 'nose']","['Picard', 'grab', 'Conn', 'phaser', 'deck', 'revers', 'wise', 'stand', 'put', 'Qs', 'nose']","['Picard', 'grab', 'Conn', 'phaser', 'deck', 'revers', 'wise', 'stand', 'put', 'Qs', 'nose']",11.0,0.4767,['troi'],lwaxana troi,Majel Barrett,"['TNG', 'DS9']",lwaxana troi,Federation Ambassador,Betazed,['Ambassador'],Betazoid,"['lwaxana', 'troi']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['phaser'],1
683,683,41123,"Riker registers at seeing something unique as Data pulls out his phaser, Riker does the same and both of them concentrate on making some exact setting on their phasers As Data and Riker raise their phasers toward Zorn.",troi,1.0,102.txt,"['riker', 'registers', 'seeing', 'something', 'unique', 'data', 'pulls', 'phaser', 'riker', 'concentrate', 'making', 'exact', 'setting', 'phasers', 'as', 'data', 'riker', 'raise', 'phasers', 'toward', 'zorn']","['Riker', 'regist', 'see', 'someth', 'uniqu', 'Data', 'pull', 'phaser', 'Riker', 'concentr', 'make', 'exact', 'set', 'phaser', 'As', 'Data', 'Riker', 'rais', 'phaser', 'toward', 'Zorn']","['Riker', 'regist', 'see', 'someth', 'uniqu', 'Data', 'pull', 'phaser', 'Riker', 'concentr', 'make', 'exact', 'set', 'phaser', 'As', 'Data', 'Riker', 'rais', 'phaser', 'toward', 'Zorn']",21.0,0.0,['troi'],lwaxana troi,Majel Barrett,"['TNG', 'DS9']",lwaxana troi,Federation Ambassador,Betazed,['Ambassador'],Betazoid,"['lwaxana', 'troi']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,"['phasers', 'phasers']",2
687,687,41127,"It may attack you now On which the changed of the mystery ""vessel"" seems to be floating in closer to the Enterprise.",troi,1.0,102.txt,"['it', 'may', 'attack', 'on', 'changed', 'mystery', 'vessel', 'seems', 'floating', 'closer', 'enterprise']","['It', 'may', 'attack', 'On', 'chang', 'mysteri', 'vessel', 'seem', 'float', 'closer', 'Enterpris']","['It', 'may', 'attack', 'On', 'chang', 'mysteri', 'vessel', 'seem', 'float', 'closer', 'Enterpris']",11.0,-0.4767,['troi'],lwaxana troi,Majel Barrett,"['TNG', 'DS9']",lwaxana troi,Federation Ambassador,Betazed,['Ambassador'],Betazoid,"['lwaxana', 'troi']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['attack'],1
693,693,41133,(to Tasha) Make phasers and photon torpedoes ready...,troi,1.0,102.txt,"['tasha', 'make', 'phasers', 'photon', 'torpedoes', 'ready']","['Tasha', 'Make', 'phaser', 'photon', 'torpedo', 'readi']","['Tasha', 'Make', 'phaser', 'photon', 'torpedo', 'readi']",6.0,0.0,['troi'],lwaxana troi,Majel Barrett,"['TNG', 'DS9']",lwaxana troi,Federation Ambassador,Betazed,['Ambassador'],Betazoid,"['lwaxana', 'troi']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,"['phasers', 'photon', 'torpedoes']",3
723,723,49978,"Which takes us past the red line, sir.",worf,1.0,102.txt,"['which', 'takes', 'us', 'past', 'red', 'line', 'sir']","['Which', 'take', 'us', 'past', 'red', 'line', 'sir']","['Which', 'take', 'u', 'past', 'red', 'line', 'sir']",7.0,0.0,['worf'],worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['red'],1
759,759,50014,(It doesn't look exactly like the Enterprise phasers but is the same sort of thing. ,worf,1.0,102.txt,"['it', 'doesnt', 'look', 'exactly', 'like', 'enterprise', 'phasers', 'sort', 'thing']","['It', 'doesnt', 'look', 'exactli', 'like', 'Enterpris', 'phaser', 'sort', 'thing']","['It', 'doesnt', 'look', 'exactli', 'like', 'Enterpris', 'phaser', 'sort', 'thing']",9.0,-0.2755,['worf'],worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['phasers'],1
790,790,58592,"All torpedoes have detonated, sir.",tasha,1.0,102.txt,"['all', 'torpedoes', 'detonated', 'sir']","['All', 'torpedo', 'deton', 'sir']","['All', 'torpedo', 'deton', 'sir']",4.0,0.0,['tasha'],tasha yar,Denise Crosby,['TNG'],tasha yar,Chief Security Officer,USS Enterprise-D,['Lieutenant'],Human,"['tasha', 'yar']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['torpedoes'],1
791,791,58593,"Will we make a fight of it, Captain?",tasha,1.0,102.txt,"['will', 'make', 'fight', 'captain']","['Will', 'make', 'fight', 'Captain']","['Will', 'make', 'fight', 'Captain']",4.0,-0.3818,['tasha'],tasha yar,Denise Crosby,['TNG'],tasha yar,Chief Security Officer,USS Enterprise-D,['Lieutenant'],Human,"['tasha', 'yar']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['fight'],1
792,792,58594,If we can at least damage their ship....,tasha,1.0,102.txt,"['if', 'least', 'damage', 'ship']","['If', 'least', 'damag', 'ship']","['If', 'least', 'damag', 'ship']",4.0,0.0,['tasha'],tasha yar,Denise Crosby,['TNG'],tasha yar,Chief Security Officer,USS Enterprise-D,['Lieutenant'],Human,"['tasha', 'yar']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['damage'],1
820,820,58622,Was that a phaser blast?,tasha,1.0,102.txt,"['was', 'phaser', 'blast']","['Wa', 'phaser', 'blast']","['Wa', 'phaser', 'blast']",3.0,0.0,['tasha'],tasha yar,Denise Crosby,['TNG'],tasha yar,Chief Security Officer,USS Enterprise-D,['Lieutenant'],Human,"['tasha', 'yar']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['phaser'],1
925,925,59819,"Riker looks up at the viewscreen again The saucer looms in the viewscreen everything is level, the docking section is dead ahead we are still moving forward He makes a couple of quick entries on his console.",bridge angle on riker angle on viewscreen (optical) close on riker,1.0,102.txt,"['riker', 'looks', 'viewscreen', 'the', 'saucer', 'looms', 'viewscreen', 'everything', 'level', 'docking', 'section', 'dead', 'ahead', 'still', 'moving', 'forward', 'he', 'makes', 'couple', 'quick', 'entries', 'console']","['Riker', 'look', 'viewscreen', 'The', 'saucer', 'loom', 'viewscreen', 'everyth', 'level', 'dock', 'section', 'dead', 'ahead', 'still', 'move', 'forward', 'He', 'make', 'coupl', 'quick', 'entri', 'consol']","['Riker', 'look', 'viewscreen', 'The', 'saucer', 'loom', 'viewscreen', 'everyth', 'level', 'dock', 'section', 'dead', 'ahead', 'still', 'move', 'forward', 'He', 'make', 'coupl', 'quick', 'entri', 'consol']",22.0,-0.7351,"['riker', 'riker']",william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['dead'],1
1133,1133,75382,"And here, the backup conn and ops panels, plus armament and shield controls.",wesley,1.0,102.txt,"['and', 'backup', 'conn', 'ops', 'panels', 'plus', 'armament', 'shield', 'controls']","['And', 'backup', 'conn', 'op', 'panel', 'plu', 'armament', 'shield', 'control']","['And', 'backup', 'conn', 'op', 'panel', 'plu', 'armament', 'shield', 'control']",9.0,0.0,['wesley'],wesley crusher,Wil Wheaton,"['TNG', 'NEM']",wesley crusher,Helmsman (S1-4),USS Titan,"['Lieutenant, JG']",Human,"['wesley', 'crusher']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['shield'],1
1197,1197,86317,"He is still inclined to shoot from the hip rather than consider before speaking, but he is a capable (and very new) graduate of the Academy.",geordi ensign sawyer markham,1.0,102.txt,"['he', 'still', 'inclined', 'shoot', 'hip', 'rather', 'consider', 'speaking', 'capable', 'new', 'graduate', 'academy']","['He', 'still', 'inclin', 'shoot', 'hip', 'rather', 'consid', 'speak', 'capabl', 'new', 'graduat', 'Academi']","['He', 'still', 'inclin', 'shoot', 'hip', 'rather', 'consid', 'speak', 'capabl', 'new', 'graduat', 'Academi']",12.0,-0.34,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['shoot'],1
1219,1219,469,which has been routinely monitoring the collapse of a red supergiant star into a white dwarf.,picard (v.o.),2.0,103.txt,"['routinely', 'monitoring', 'collapse', 'red', 'supergiant', 'star', 'white', 'dwarf']","['routin', 'monitor', 'collaps', 'red', 'supergi', 'star', 'white', 'dwarf']","['routin', 'monitor', 'collaps', 'red', 'supergi', 'star', 'white', 'dwarf']",8.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",2,3,3,"""The Naked Now""",41209.2,Paul Lynch,Teleplay: J. Michael Bingham Story: John D. F. Black and J. Michael Bingham,"October?5,?1987?(1987-10-05)",11.5[1],2,['red'],1
1273,1273,523,"(interrupting) The entire crew over there somehow managed to kill themselves, Doctor.",picard,2.0,103.txt,"['interrupting', 'the', 'entire', 'crew', 'somehow', 'managed', 'kill', 'doctor']","['interrupt', 'The', 'entir', 'crew', 'somehow', 'manag', 'kill', 'Doctor']","['interrupt', 'The', 'entir', 'crew', 'somehow', 'manag', 'kill', 'Doctor']",8.0,-0.7964,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",2,3,3,"""The Naked Now""",41209.2,Paul Lynch,Teleplay: J. Michael Bingham Story: John D. F. Black and J. Michael Bingham,"October?5,?1987?(1987-10-05)",11.5[1],2,['kill'],1
1300,1300,550,"Like a full collapse, sir (continuing) Any stellar material it threw this way we could still outrun on half impulse power as before, the slow surface explosions on the collapsing star continuing from the last viewscreen",data (v.o.) back to two shot picard and data data angle at main viewscreen (optical) shot.59 int.,2.0,103.txt,"['like', 'full', 'collapse', 'sir', 'continuing', 'any', 'stellar', 'material', 'threw', 'way', 'could', 'still', 'outrun', 'half', 'impulse', 'power', 'slow', 'surface', 'explosions', 'collapsing', 'star', 'continuing', 'last', 'viewscreen']","['Like', 'full', 'collaps', 'sir', 'continu', 'Ani', 'stellar', 'materi', 'threw', 'way', 'could', 'still', 'outrun', 'half', 'impuls', 'power', 'slow', 'surfac', 'explos', 'collaps', 'star', 'continu', 'last', 'viewscreen']","['Like', 'full', 'collaps', 'sir', 'continu', 'Ani', 'stellar', 'materi', 'threw', 'way', 'could', 'still', 'outrun', 'half', 'impuls', 'power', 'slow', 'surfac', 'explos', 'collaps', 'star', 'continu', 'last', 'viewscreen']",24.0,0.3612,"['data', 'picard', 'data', 'data']",jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",2,3,3,"""The Naked Now""",41209.2,Paul Lynch,Teleplay: J. Michael Bingham Story: John D. F. Black and J. Michael Bingham,"October?5,?1987?(1987-10-05)",11.5[1],2,['explosions'],1
1490,1490,50041,Red alarm lights flash The star's surface clearly changed by this great flaring explosion Picard very concerned at what he is seeing; Beverly reacting to his concern; even the bemused Data watching it with some interest.,main bridge emphasizing worf,2.0,103.txt,"['red', 'alarm', 'lights', 'flash', 'the', 'stars', 'surface', 'clearly', 'changed', 'great', 'flaring', 'explosion', 'picard', 'concerned', 'seeing', 'beverly', 'reacting', 'concern', 'even', 'bemused', 'data', 'watching', 'interest']","['Red', 'alarm', 'light', 'flash', 'The', 'star', 'surfac', 'clearli', 'chang', 'great', 'flare', 'explos', 'Picard', 'concern', 'see', 'Beverli', 'react', 'concern', 'even', 'bemus', 'Data', 'watch', 'interest']","['Red', 'alarm', 'light', 'flash', 'The', 'star', 'surfac', 'clearli', 'chang', 'great', 'flare', 'explos', 'Picard', 'concern', 'see', 'Beverli', 'react', 'concern', 'even', 'bemus', 'Data', 'watch', 'interest']",23.0,0.6908,['worf'],worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],2,3,3,"""The Naked Now""",41209.2,Paul Lynch,Teleplay: J. Michael Bingham Story: John D. F. Black and J. Michael Bingham,"October?5,?1987?(1987-10-05)",11.5[1],2,['explosion'],1
1569,1569,59998,This corridor shows signs of phaser char marks on the walls.,second corridor on riker and data (optical),2.0,103.txt,"['this', 'corridor', 'shows', 'signs', 'phaser', 'char', 'marks', 'walls']","['Thi', 'corridor', 'show', 'sign', 'phaser', 'char', 'mark', 'wall']","['Thi', 'corridor', 'show', 'sign', 'phaser', 'char', 'mark', 'wall']",8.0,0.0,"['riker', 'data']",william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",2,3,3,"""The Naked Now""",41209.2,Paul Lynch,Teleplay: J. Michael Bingham Story: John D. F. Black and J. Michael Bingham,"October?5,?1987?(1987-10-05)",11.5[1],2,['phaser'],1
1945,1945,701,"But you have now committed what our laws regard as an attack upon us, Lutan.",picard,3.0,104.txt,"['but', 'committed', 'laws', 'regard', 'attack', 'upon', 'us', 'lutan']","['But', 'commit', 'law', 'regard', 'attack', 'upon', 'us', 'Lutan']","['But', 'commit', 'law', 'regard', 'attack', 'upon', 'u', 'Lutan']",8.0,-0.2263,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",3,4,4,"""Code of Honor""",41235.25,Russ Mayberry,Katharyn Powers and Michael Baron,"October?12,?1987?(1987-10-12)",9.5[1],3,['attack'],1
2016,2016,772,There is a stunned,picard no!,3.0,104.txt,"['there', 'stunned']","['There', 'stun']","['There', 'stun']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",3,4,4,"""Code of Honor""",41235.25,Russ Mayberry,Katharyn Powers and Michael Baron,"October?12,?1987?(1987-10-12)",9.5[1],3,['stunned'],1
